area_type,site_location,total_sqft,bath,balcony,bhk,price
Super built-up  Area,other,1010.0,2.0,1.0,2.0,51.0
Carpet  Area,Sasson Road,1535.0,3.0,1.0,3.0,95.0
Super built-up  Area,other,620.0,2.0,1.0,2.0,22.0
Built-up  Area,other,982.0,2.0,1.0,2.0,47.65
Super built-up  Area,other,1700.0,2.0,2.0,2.0,150.0
Super built-up  Area,other,1330.0,2.0,1.0,2.0,71.0
Built-up  Area,other,2500.0,3.0,2.0,3.0,135.0
Super built-up  Area,other,1475.0,2.0,2.0,3.0,58.99
Super built-up  Area,Somwar Peth,1410.0,3.0,1.0,3.0,65.0
Super built-up  Area,Swargate,440.0,1.0,1.0,1.0,16.5
Super built-up  Area,other,1614.0,3.0,2.0,3.0,95.0
Super built-up  Area,other,1363.0,2.0,2.0,2.0,68.0
Built-up  Area,other,650.0,2.0,0.0,2.0,28.0
Super built-up  Area,other,1015.0,2.0,1.0,2.0,45.0
Super built-up  Area,other,1156.0,2.0,2.0,2.0,46.0
Super built-up  Area,Vishrant Wadi,1100.0,2.0,1.0,2.0,62.7
Super built-up  Area,other,1455.0,3.0,2.0,3.0,46.0
Super built-up  Area,other,930.0,2.0,1.0,2.0,45.0
Built-up  Area,other,1650.0,2.0,2.0,3.0,80.0
Built-up  Area,Warje,1200.0,2.0,0.0,2.0,90.0
Super built-up  Area,Alandi Road,2900.0,3.0,0.0,4.0,135.0
Super built-up  Area,other,1890.0,4.0,3.0,3.0,127.0
Super built-up  Area,other,2197.0,4.0,3.0,3.0,280.0
Super built-up  Area,other,3522.0,3.0,2.0,3.0,380.0
Super built-up  Area,other,1240.0,2.0,2.0,3.0,46.0
Built-up  Area,other,1440.0,2.0,2.0,2.0,98.0
Super built-up  Area,other,650.0,1.0,2.0,1.0,38.0
Super built-up  Area,Baner road,764.0,1.0,1.0,1.0,32.0
Super built-up  Area,Bhavani Peth,1693.0,3.0,3.0,3.0,57.39
Built-up  Area,other,1445.0,3.0,2.0,3.0,65.0
Super built-up  Area,other,900.0,1.0,0.0,2.0,45.0
Super built-up  Area,other,1030.0,2.0,0.0,2.0,55.0
Super built-up  Area,other,1381.0,2.0,2.0,3.0,52.48
Built-up  Area,other,1100.0,2.0,1.0,2.0,60.0
Super built-up  Area,Chandan Nagar,1575.0,3.0,2.0,3.0,66.39
Plot  Area,other,1200.0,2.0,1.0,2.0,65.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,43.2
Super built-up  Area,other,1080.0,2.0,2.0,2.0,80.0
Plot  Area,other,2280.0,5.0,0.0,5.0,200.0
Super built-up  Area,other,1360.0,2.0,2.0,3.0,85.0
Super built-up  Area,other,1865.0,3.0,1.0,3.0,124.0
Super built-up  Area,other,1157.0,2.0,1.0,3.0,75.0
Super built-up  Area,other,674.0,2.0,1.0,2.0,29.0
Super built-up  Area,Fergusson College Road,1405.0,2.0,1.0,3.0,78.0
Super built-up  Area,other,1160.0,2.0,2.0,2.0,44.08
Plot  Area,other,1600.0,3.0,1.0,4.0,172.0
Super built-up  Area,other,1790.0,3.0,2.0,3.0,127.0
Super built-up  Area,Ghorpadi,1128.0,2.0,1.0,2.0,65.65
Super built-up  Area,other,1180.0,2.0,1.0,2.0,70.0
Built-up  Area,Gultekdi,1450.0,2.0,2.0,3.0,85.0
Built-up  Area,other,340.0,1.0,1.0,1.0,10.0
Built-up  Area,other,2000.0,3.0,1.0,4.0,166.0
Super built-up  Area,Hadapsar Industrial Estate,1050.0,2.0,2.0,2.0,53.5
Super built-up  Area,Hingne Khurd,1125.0,2.0,2.0,2.0,40.0
Super built-up  Area,other,1246.0,2.0,1.0,2.0,68.0
Super built-up  Area,other,1372.0,2.0,1.0,2.0,61.0
Super built-up  Area,other,1330.0,2.0,1.0,3.0,56.0
Super built-up  Area,other,2465.0,5.0,2.0,3.0,234.0
Super built-up  Area,other,1300.0,2.0,3.0,2.0,55.0
Plot  Area,other,1420.0,1.0,0.0,2.0,220.0
Super built-up  Area,Khadki,1065.0,2.0,1.0,2.0,35.0
Built-up  Area,Kharadi,700.0,2.0,0.0,2.0,27.0
Carpet  Area,Kondhwa,687.325,2.0,0.0,2.0,42.72
Super built-up  Area,Kondhwa Budruk,1050.0,2.0,1.0,2.0,45.0
Super built-up  Area,other,1250.0,3.0,3.0,3.0,39.5
Built-up  Area,Koregaon Park,865.0,2.0,0.0,2.0,42.0
Super built-up  Area,other,1200.0,2.0,2.0,2.0,44.0
Built-up  Area,other,1756.0,3.0,3.0,3.0,100.0
Super built-up  Area,other,628.0,1.0,1.0,1.0,24.0
Super built-up  Area,Mangalwar peth,1207.0,2.0,2.0,2.0,63.0
Super built-up  Area,Manik Bagh,1765.0,3.0,1.0,3.0,125.0
Built-up  Area,Market yard,1130.0,2.0,1.0,2.0,32.64
Super built-up  Area,other,1532.0,3.0,3.0,3.0,92.0
Built-up  Area,other,1650.0,3.0,0.0,3.0,110.0
Built-up  Area,Mundhawa,1200.0,4.0,2.0,4.0,105.0
Carpet  Area,other,804.1,2.0,1.0,2.0,69.09
Super built-up  Area,other,1200.0,2.0,2.0,2.0,75.0
Super built-up  Area,Narayan Peth,1197.0,2.0,2.0,2.0,50.0
Built-up  Area,other,1200.0,2.0,2.0,2.0,66.0
Super built-up  Area,other,1385.0,2.0,2.0,3.0,48.48
Super built-up  Area,other,1010.0,2.0,3.0,2.0,148.0
Super built-up  Area,Parvati Darshan,2225.0,3.0,3.0,3.0,115.0
Super built-up  Area,other,1180.0,2.0,2.0,2.0,48.0
Super built-up  Area,Paud Road,1525.0,2.0,3.0,3.0,122.0
Super built-up  Area,other,1100.0,2.0,2.0,2.0,31.5
Super built-up  Area,other,1435.0,3.0,3.0,3.0,70.0
Built-up  Area,other,400.0,1.0,1.0,1.0,14.0
Super built-up  Area,Rasta Peth,1200.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1272.0,2.0,1.0,2.0,95.05
Super built-up  Area,Sadashiv Peth,1205.0,2.0,1.0,2.0,39.0
Built-up  Area,other,980.0,2.0,1.0,2.0,40.0
Super built-up  Area,other,1225.0,2.0,2.0,2.0,46.86
Built-up  Area,Sasson Road,1541.0,3.0,1.0,3.0,72.0
Super built-up  Area,other,1610.0,2.0,2.0,3.0,111.0
Super built-up  Area,other,1694.0,2.0,2.0,2.0,125.0
Super built-up  Area,other,950.0,2.0,1.0,2.0,39.0
Super built-up  Area,other,1560.0,2.0,3.0,3.0,66.0
Super built-up  Area,other,1201.0,2.0,2.0,2.0,27.0
Plot  Area,Somwar Peth,1500.0,2.0,1.0,2.0,60.0
Super built-up  Area,Swargate,1785.0,3.0,2.0,3.0,75.0
Built-up  Area,other,1258.0,2.0,1.0,2.0,63.53
Super built-up  Area,other,910.0,2.0,2.0,2.0,42.0
Super built-up  Area,other,1297.0,2.0,2.0,2.0,112.0
Super built-up  Area,other,1291.0,2.0,3.0,2.0,49.0
Built-up  Area,other,1070.0,2.0,2.0,2.0,42.0
Super built-up  Area,Vishrant Wadi,1012.0,2.0,1.0,2.0,66.5
Super built-up  Area,other,1260.0,2.0,3.0,2.0,57.6
Super built-up  Area,other,1282.0,2.0,2.0,2.0,72.0
Super built-up  Area,other,1843.0,3.0,2.0,3.0,92.15
Plot  Area,Warje,2400.0,3.0,0.0,4.0,200.0
Built-up  Area,Yerawada,3356.0,5.0,2.0,5.0,105.0
Super built-up  Area,Alandi Road,2790.0,5.0,3.0,4.0,198.0
Super built-up  Area,other,1330.0,2.0,1.0,2.0,86.98
Super built-up  Area,other,1400.0,2.0,1.0,3.0,73.0
Built-up  Area,other,1192.0,2.0,1.0,2.0,71.0
Built-up  Area,other,1000.0,2.0,1.0,2.0,130.0
Super built-up  Area,other,1297.0,2.0,2.0,2.0,103.0
Super built-up  Area,other,615.0,1.0,0.0,1.0,17.835
Super built-up  Area,Baner road,1490.0,3.0,2.0,3.0,100.0
Super built-up  Area,Bhandarkar Road,1373.0,3.0,2.0,3.0,72.0
Super built-up  Area,Bhavani Peth,1035.0,2.0,1.0,2.0,41.39
Plot  Area,other,3750.0,4.0,0.0,4.0,210.0
Super built-up  Area,other,1010.0,2.0,1.0,2.0,40.39
Built-up  Area,other,1195.0,2.0,1.0,2.0,42.0
Super built-up  Area,other,1750.0,3.0,2.0,3.0,95.0
Super built-up  Area,other,1052.0,2.0,2.0,2.0,50.0
Super built-up  Area,Chandan Nagar,1180.0,2.0,2.0,2.0,58.0
Built-up  Area,other,3680.0,4.0,2.0,5.0,440.0
Built-up  Area,other,2100.0,3.0,2.0,3.0,73.0
Built-up  Area,other,2863.0,4.0,1.0,4.0,140.0
Super built-up  Area,other,1128.0,2.0,2.0,2.0,38.24
Super built-up  Area,other,1120.0,2.0,2.0,2.0,33.6
Built-up  Area,other,2424.0,3.0,2.0,3.0,90.0
Built-up  Area,other,1300.0,2.0,1.0,2.0,60.0
Super built-up  Area,Fergusson College Road,1090.0,2.0,2.0,2.0,32.69
Built-up  Area,other,2710.0,3.0,1.0,3.0,251.0
Plot  Area,other,3040.0,1.0,1.0,2.0,180.0
Super built-up  Area,other,1330.0,2.0,2.0,3.0,46.55
Super built-up  Area,Ghorpadi,1427.0,2.0,1.0,3.0,80.63
Super built-up  Area,other,1294.0,2.0,2.0,3.0,48.0
Built-up  Area,Gultekdi,1580.0,3.0,2.0,3.0,75.0
Plot  Area,other,1808.0,4.0,2.0,3.0,80.27
Super built-up  Area,Hadapsar Industrial Estate,3516.0,4.0,3.0,4.0,540.0
Super built-up  Area,Hingne Khurd,1194.0,2.0,2.0,2.0,47.0
Super built-up  Area,other,900.0,2.0,1.0,2.0,46.0
Super built-up  Area,other,1310.0,2.0,3.0,3.0,50.0
Super built-up  Area,other,900.0,2.0,1.0,2.0,46.0
Built-up  Area,other,3850.0,6.0,3.0,4.0,195.0
Super built-up  Area,other,2400.0,1.0,1.0,2.0,150.0
Super built-up  Area,other,1290.0,2.0,3.0,2.0,100.0
Built-up  Area,Khadki,3770.0,6.0,3.0,6.0,110.0
Super built-up  Area,Kharadi,1390.0,3.0,1.0,3.0,120.0
Plot  Area,Kondhwa,1200.0,4.0,2.0,4.0,72.0
Built-up  Area,Kondhwa Budruk,845.0,2.0,1.0,2.0,33.0
Super built-up  Area,other,1537.0,3.0,3.0,3.0,120.0
Super built-up  Area,Koregaon Park,1135.0,2.0,2.0,2.0,68.0
Super built-up  Area,other,1512.0,3.0,2.0,3.0,75.77
Super built-up  Area,other,900.0,2.0,1.0,2.0,55.0
Super built-up  Area,other,1230.0,3.0,3.0,3.0,54.0
Super built-up  Area,other,1378.0,2.0,3.0,3.0,42.33
Super built-up  Area,other,1277.0,2.0,1.0,2.0,61.3
Super built-up  Area,Mangalwar peth,1985.0,4.0,2.0,3.0,189.0
Plot  Area,Manik Bagh,8000.0,5.0,0.0,5.0,500.0
Super built-up  Area,Market yard,1210.0,2.0,2.0,2.0,62.0
Super built-up  Area,other,890.0,2.0,0.0,2.0,40.0
Plot  Area,Mundhawa,1200.0,5.0,2.0,4.0,110.0
Built-up  Area,other,3198.0,4.0,3.0,4.0,200.0
Super built-up  Area,other,1464.0,3.0,2.0,3.0,56.0
Super built-up  Area,Narayan Peth,2483.0,5.0,2.0,4.0,215.0
Plot  Area,other,1550.0,4.0,2.0,4.0,130.0
Super built-up  Area,other,4111.0,4.0,1.0,4.0,310.0
Super built-up  Area,other,975.0,2.0,2.0,2.0,37.5
Super built-up  Area,Parvati Darshan,2500.0,3.0,1.0,3.0,250.0
Super built-up  Area,other,1690.0,3.0,1.0,3.0,125.0
Super built-up  Area,Paud Road,1063.0,2.0,1.0,2.0,31.89
Plot  Area,other,2572.0,3.0,3.0,3.0,390.0
Carpet  Area,other,2200.0,4.0,0.0,3.0,350.0
Built-up  Area,other,1600.0,3.0,0.0,3.0,80.0
Super built-up  Area,Rasta Peth,1250.0,3.0,1.0,3.0,39.5
Super built-up  Area,other,520.0,1.0,0.0,1.0,19.5
Super built-up  Area,Sadashiv Peth,4000.0,5.0,0.0,4.0,212.0
Built-up  Area,other,1390.0,3.0,2.0,3.0,68.0
Super built-up  Area,other,1185.0,2.0,2.0,2.0,40.0
Super built-up  Area,Sasson Road,1219.0,2.0,2.0,2.0,48.0
Super built-up  Area,other,1564.0,2.0,1.0,3.0,92.0
Super built-up  Area,other,3430.0,6.0,0.0,4.0,228.5
Super built-up  Area,other,1100.0,2.0,2.0,2.0,37.1
Built-up  Area,other,1300.0,2.0,0.0,3.0,60.0
Plot  Area,other,1600.0,2.0,0.0,3.0,80.0
Built-up  Area,other,1600.0,3.0,2.0,3.0,75.0
Super built-up  Area,Somwar Peth,1482.0,2.0,1.0,3.0,92.0
Plot  Area,Swargate,1000.0,4.0,3.0,3.0,66.0
Super built-up  Area,other,1200.0,2.0,3.0,2.0,53.0
Super built-up  Area,other,1200.0,2.0,0.0,2.0,58.0
Built-up  Area,other,2400.0,3.0,0.0,3.0,160.0
Super built-up  Area,Vishrant Wadi,1469.0,3.0,1.0,3.0,89.0
Super built-up  Area,other,551.0,1.0,1.0,1.0,30.0
Super built-up  Area,other,1160.0,2.0,1.0,2.0,52.0
Super built-up  Area,other,1205.0,2.0,1.0,2.0,78.5
Built-up  Area,Warje,1550.0,2.0,3.0,3.0,52.0
Super built-up  Area,Yerawada,1745.0,3.0,2.0,3.0,125.0
Super built-up  Area,Alandi Road,1028.0,2.0,1.0,2.0,42.0
Super built-up  Area,other,1700.0,3.0,1.0,3.0,180.0
Super built-up  Area,other,1200.0,2.0,1.0,3.0,34.0
Super built-up  Area,other,2700.0,4.0,1.0,3.0,270.0
Built-up  Area,other,1100.0,2.0,2.0,2.0,50.0
Plot  Area,other,1200.0,3.0,1.0,2.0,72.0
Super built-up  Area,other,1269.72,2.0,2.0,2.0,68.0
Super built-up  Area,Baner road,1266.0,2.0,2.0,2.0,59.0
Super built-up  Area,Bhandarkar Road,1060.0,2.0,1.0,2.0,62.0
Plot  Area,Bhavani Peth,1168.0,3.0,0.0,3.0,70.0
Super built-up  Area,other,1552.0,2.0,1.0,2.0,51.0
Super built-up  Area,other,2038.5,3.0,0.0,3.0,120.0
Super built-up  Area,other,500.0,1.0,1.0,1.0,17.0
Super built-up  Area,other,1080.0,2.0,2.0,2.0,43.2
Plot  Area,other,2100.0,4.0,0.0,4.0,155.0
Super built-up  Area,Chandan Nagar,1300.0,2.0,2.0,2.0,65.0
Built-up  Area,other,920.0,2.0,2.0,2.0,33.0
Built-up  Area,other,1310.0,2.0,1.0,2.0,50.0
Super built-up  Area,other,1650.0,2.0,1.0,3.0,75.0
Super built-up  Area,other,1515.0,3.0,3.0,3.0,93.93
Super built-up  Area,other,1157.0,2.0,1.0,2.0,53.8
Super built-up  Area,other,2400.0,5.0,1.0,4.0,85.0
Super built-up  Area,other,3000.0,4.0,3.0,4.0,160.0
Super built-up  Area,Fergusson College Road,2200.0,2.0,1.0,3.0,162.0
Built-up  Area,other,1243.0,2.0,1.0,2.0,58.0
Super built-up  Area,other,1530.0,2.0,2.0,3.0,74.39
Super built-up  Area,other,2070.0,3.0,3.0,3.0,162.0
Built-up  Area,Ghorpadi,1815.0,3.0,2.0,3.0,82.0
Super built-up  Area,other,3900.0,4.0,3.0,4.0,300.0
Super built-up  Area,Gultekdi,1000.0,2.0,1.0,2.0,28.88
Super built-up  Area,other,982.0,2.0,2.0,2.0,24.55
Super built-up  Area,other,1232.0,2.0,2.0,2.0,89.0
Super built-up  Area,Hadapsar Industrial Estate,1282.0,3.0,2.0,3.0,178.0
Super built-up  Area,Hingne Khurd,654.0,1.0,1.0,1.0,38.4
Built-up  Area,other,1181.0,2.0,0.0,2.0,55.0
Super built-up  Area,other,1075.0,2.0,1.0,3.0,45.0
Super built-up  Area,other,1616.0,3.0,1.0,3.0,75.0
Built-up  Area,other,1800.0,6.0,0.0,5.0,44.5
Super built-up  Area,other,1306.0,3.0,2.0,3.0,54.65
Super built-up  Area,Khadki,1626.0,3.0,3.0,3.0,89.0
Built-up  Area,Kharadi,2700.0,4.0,2.0,6.0,214.0
Super built-up  Area,Kondhwa,1585.0,3.0,2.0,3.0,88.0
Super built-up  Area,Kondhwa Budruk,1370.0,2.0,1.0,2.0,56.17
Super built-up  Area,Koregaon Park,1495.0,2.0,2.0,2.0,90.0
Super built-up  Area,other,2000.0,3.0,2.0,3.0,210.0
Plot  Area,other,2400.0,4.0,1.0,5.0,300.0
Plot  Area,other,1375.0,3.0,0.0,3.0,57.0
Super built-up  Area,other,3715.0,6.0,0.0,4.0,224.5
Built-up  Area,other,1400.0,2.0,2.0,3.0,48.0
Super built-up  Area,other,1150.0,2.0,2.0,2.0,46.0
Super built-up  Area,other,1080.0,2.0,1.0,2.0,54.0
Super built-up  Area,Mundhawa,1645.0,3.0,2.0,3.0,100.0
Super built-up  Area,other,1760.0,3.0,3.0,3.0,176.0
Built-up  Area,other,595.0,1.0,1.0,1.0,42.0
Plot  Area,Narayan Peth,1200.0,3.0,1.0,3.0,125.0
Super built-up  Area,other,4624.5,4.0,0.0,4.0,314.5
Built-up  Area,other,1410.0,2.0,3.0,2.0,67.0
Built-up  Area,other,1090.0,2.0,1.0,2.0,31.48
Plot  Area,Parvati Darshan,540.0,1.0,0.0,1.0,30.0
Super built-up  Area,other,1300.0,2.0,2.0,2.0,60.0
Built-up  Area,Paud Road,1890.0,2.0,2.0,3.0,85.0
Super built-up  Area,other,1254.0,2.0,1.0,2.0,53.0
Built-up  Area,other,2800.0,7.0,2.0,7.0,125.0
Built-up  Area,other,1275.0,2.0,0.0,2.0,120.0
Super built-up  Area,Rasta Peth,1245.0,2.0,2.0,3.0,68.48
Built-up  Area,other,1170.0,2.0,2.0,2.0,86.0
Super built-up  Area,Sadashiv Peth,1193.0,2.0,1.0,2.0,86.0
Super built-up  Area,other,850.0,2.0,1.0,2.0,25.4
Super built-up  Area,other,1678.0,3.0,3.0,3.0,70.0
Built-up  Area,Sasson Road,1600.0,3.0,3.0,3.0,75.0
Super built-up  Area,other,1750.0,3.0,2.0,3.0,84.0
Super built-up  Area,other,1125.0,2.0,2.0,2.0,62.0
Plot  Area,other,2200.0,4.0,3.0,4.0,235.0
Built-up  Area,other,2800.0,2.0,0.0,3.0,200.0
Plot  Area,other,1200.0,2.0,1.0,2.0,120.0
Built-up  Area,Somwar Peth,1000.0,2.0,1.0,2.0,50.0
Built-up  Area,Swargate,2780.0,5.0,2.0,4.0,480.0
Built-up  Area,other,1320.0,2.0,1.0,3.0,38.13
Super built-up  Area,other,2422.0,4.0,2.0,4.0,160.0
Built-up  Area,other,1100.0,2.0,1.0,2.0,50.0
Built-up  Area,other,882.0,2.0,1.0,2.0,30.0
Super built-up  Area,Vishrant Wadi,845.0,2.0,1.0,2.0,37.0
Super built-up  Area,other,883.0,2.0,1.0,2.0,39.0
Super built-up  Area,other,1595.0,3.0,3.0,3.0,88.0
Built-up  Area,Warje,1280.0,2.0,0.0,2.0,85.0
Super built-up  Area,Alandi Road,1300.0,2.0,3.0,2.0,57.0
Super built-up  Area,other,1450.0,1.0,0.0,2.0,230.0
Super built-up  Area,other,1757.0,3.0,2.0,3.0,132.0
Super built-up  Area,other,600.0,1.0,1.0,1.0,16.5
Built-up  Area,other,2400.0,3.0,2.0,4.0,142.0
Super built-up  Area,other,1240.0,2.0,1.0,2.0,44.0
Super built-up  Area,Baner road,1330.0,2.0,1.0,2.0,93.36
Super built-up  Area,Bhandarkar Road,1062.0,2.0,1.0,2.0,42.47
Built-up  Area,Bhavani Peth,1078.0,2.0,2.0,2.0,45.0
Super built-up  Area,other,1460.0,2.0,2.0,3.0,72.0
Plot  Area,other,1200.0,3.0,2.0,3.0,68.5
Super built-up  Area,other,1200.0,1.0,1.0,1.0,48.0
Super built-up  Area,other,912.0,2.0,1.0,3.0,39.0
Plot  Area,other,2028.0,4.0,3.0,4.0,162.0
Super built-up  Area,other,980.0,2.0,1.0,2.0,45.47
Built-up  Area,other,1000.0,2.0,2.0,2.0,40.0
Super built-up  Area,other,1050.0,2.0,1.0,2.0,62.0
Built-up  Area,other,2611.0,3.0,1.0,3.0,239.0
Super built-up  Area,other,1875.0,2.0,2.0,3.0,150.0
Super built-up  Area,other,1065.0,2.0,1.0,2.0,42.6
Built-up  Area,other,1800.0,3.0,2.0,3.0,180.0
Super built-up  Area,Fergusson College Road,1163.0,2.0,2.0,2.0,98.86
Super built-up  Area,other,1098.0,2.0,1.0,2.0,72.0
Built-up  Area,other,1725.0,2.0,2.0,3.0,100.0
Plot  Area,other,4000.0,4.0,2.0,4.0,330.0
Super built-up  Area,Ghorpadi,1128.0,2.0,2.0,2.0,75.0
Super built-up  Area,Gultekdi,1705.0,3.0,1.0,3.0,74.16
Super built-up  Area,other,1418.0,2.0,2.0,2.0,95.0
Built-up  Area,other,1500.0,3.0,1.0,3.0,160.0
Built-up  Area,Hadapsar Industrial Estate,1100.0,2.0,2.0,2.0,50.0
Super built-up  Area,Hingne Khurd,1464.0,3.0,2.0,3.0,56.0
Super built-up  Area,other,812.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,1280.0,2.0,2.0,2.0,40.0
Super built-up  Area,other,1420.0,2.0,2.0,2.0,136.0
Plot  Area,other,1200.0,2.0,1.0,4.0,150.0
Super built-up  Area,Khadki,2774.0,4.0,0.0,4.0,207.0
Super built-up  Area,Kharadi,2000.0,3.0,2.0,3.0,85.0
Super built-up  Area,Kondhwa,1722.0,3.0,0.0,3.0,95.0
Super built-up  Area,Kondhwa Budruk,2800.0,3.0,1.0,3.0,330.0
Carpet  Area,Koregaon Park,1650.0,3.0,3.0,3.0,175.0
Built-up  Area,other,840.0,2.0,2.0,2.0,27.0
Built-up  Area,other,914.0,2.0,2.0,2.0,47.0
Super built-up  Area,other,1482.0,2.0,2.0,3.0,83.73
Super built-up  Area,other,1724.0,3.0,2.0,3.0,127.0
Super built-up  Area,other,1670.0,3.0,3.0,3.0,91.86
Super built-up  Area,Mangalwar peth,1184.0,2.0,3.0,2.0,53.0
Super built-up  Area,Manik Bagh,1200.0,2.0,1.0,2.0,55.0
Plot  Area,Market yard,1200.0,2.0,0.0,2.0,65.0
Super built-up  Area,other,927.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,1242.0,2.0,3.0,2.0,39.7
Built-up  Area,Mundhawa,1220.0,3.0,1.0,3.0,35.23
Built-up  Area,other,1360.0,2.0,1.0,3.0,75.0
Plot  Area,other,2800.0,4.0,2.0,4.0,240.0
Super built-up  Area,Narayan Peth,1180.0,2.0,2.0,2.0,72.0
Super built-up  Area,other,1697.0,3.0,2.0,3.0,108.0
Super built-up  Area,other,1225.0,2.0,1.0,2.0,57.0
Super built-up  Area,Parvati Darshan,1690.0,2.0,2.0,3.0,55.0
Super built-up  Area,Paud Road,1488.0,3.0,0.0,3.0,57.0
Built-up  Area,other,1250.0,2.0,1.0,3.0,80.0
Super built-up  Area,other,1050.0,1.0,1.0,1.0,44.0
Super built-up  Area,other,1027.0,2.0,2.0,2.0,44.0
Super built-up  Area,Rasta Peth,1699.0,3.0,3.0,3.0,81.94
Built-up  Area,other,1205.0,2.0,2.0,2.0,58.0
Super built-up  Area,other,950.0,2.0,3.0,2.0,39.0
Plot  Area,other,1200.0,2.0,0.0,2.0,70.0
Super built-up  Area,Sasson Road,1476.0,3.0,1.0,3.0,120.0
Built-up  Area,other,1070.0,2.0,1.0,2.0,55.0
Super built-up  Area,other,2160.0,4.0,2.0,3.0,172.0
Super built-up  Area,other,1296.0,2.0,1.0,2.0,75.0
Built-up  Area,other,1800.0,1.0,1.0,2.0,128.0
Super built-up  Area,other,1570.0,3.0,3.0,3.0,64.5
Super built-up  Area,other,1300.0,2.0,3.0,2.0,110.0
Built-up  Area,Somwar Peth,1550.0,2.0,2.0,4.0,65.0
Super built-up  Area,Swargate,770.0,1.0,1.0,2.0,40.0
Built-up  Area,other,1870.0,3.0,0.0,3.0,110.0
Plot  Area,other,1650.0,4.0,0.0,3.0,160.0
Super built-up  Area,other,1429.0,3.0,3.0,3.0,86.0
Super built-up  Area,other,1167.0,2.0,2.0,3.0,39.98
Super built-up  Area,other,1035.0,2.0,1.0,2.0,41.73
Super built-up  Area,Vishrant Wadi,1188.0,2.0,2.0,3.0,38.0
Super built-up  Area,other,884.0,2.0,2.0,1.0,36.0
Super built-up  Area,Warje,1194.0,2.0,2.0,2.0,46.0
Super built-up  Area,Yerawada,1026.0,2.0,1.0,2.0,60.87
Super built-up  Area,other,1115.0,2.0,2.0,2.0,50.0
Plot  Area,other,1200.0,2.0,1.0,2.0,125.0
Super built-up  Area,other,2690.0,4.0,3.0,4.0,191.0
Super built-up  Area,other,975.0,2.0,1.0,2.0,58.0
Super built-up  Area,other,1900.0,2.0,1.0,4.0,170.0
Super built-up  Area,Bhandarkar Road,1101.0,2.0,2.0,2.0,65.5
Super built-up  Area,Bhavani Peth,1700.0,3.0,3.0,3.0,135.0
Super built-up  Area,other,3606.0,4.0,2.0,4.0,312.0
Super built-up  Area,other,1258.0,2.0,2.0,2.0,115.0
Carpet  Area,other,1560.0,3.0,0.0,3.0,92.0
Super built-up  Area,other,3630.0,6.0,1.0,4.0,195.0
Built-up  Area,other,2000.0,3.0,2.0,3.0,250.0
Super built-up  Area,Chandan Nagar,2790.0,4.0,3.0,4.0,198.0
Super built-up  Area,other,1494.0,2.0,2.0,3.0,94.55
Super built-up  Area,other,1482.0,2.0,1.0,3.0,87.0
Super built-up  Area,other,800.0,2.0,3.0,2.0,50.0
Super built-up  Area,other,1185.0,2.0,2.0,2.0,47.39
Super built-up  Area,other,1100.0,2.0,2.0,2.0,71.5
Built-up  Area,other,1300.0,2.0,0.0,2.0,120.0
Super built-up  Area,other,1225.0,2.0,2.0,2.0,150.0
Super built-up  Area,other,1758.0,3.0,2.0,3.0,65.0
Super built-up  Area,Fergusson College Road,1145.0,2.0,2.0,2.0,55.0
Built-up  Area,other,1180.0,2.0,2.0,2.0,50.0
Super built-up  Area,other,1260.0,2.0,2.0,2.0,58.0
Built-up  Area,Ghorpadi,1190.0,2.0,2.0,2.0,55.0
Super built-up  Area,other,1691.0,3.0,2.0,3.0,119.0
Super built-up  Area,Gultekdi,3675.0,4.0,3.0,4.0,367.0
Built-up  Area,other,1305.0,3.0,0.0,3.0,95.45
Super built-up  Area,other,2337.0,4.0,3.0,3.0,292.0
Plot  Area,Hadapsar Industrial Estate,1200.0,2.0,2.0,2.0,150.0
Super built-up  Area,other,1140.0,2.0,1.0,2.0,50.66
Super built-up  Area,other,1250.0,2.0,2.0,2.0,65.0
Super built-up  Area,other,1225.0,2.0,2.0,2.0,48.0
Built-up  Area,other,800.0,2.0,2.0,2.0,28.0
Super built-up  Area,other,1020.0,2.0,1.0,2.0,58.0
Built-up  Area,Khadki,2100.0,2.0,1.0,4.0,50.0
Plot  Area,Kharadi,1350.0,2.0,1.0,2.0,80.0
Super built-up  Area,Kondhwa,925.0,2.0,1.0,2.0,40.0
Built-up  Area,Kondhwa Budruk,1800.0,3.0,1.0,4.0,220.0
Built-up  Area,other,2000.0,3.0,1.0,3.0,100.0
Built-up  Area,Koregaon Park,1510.0,2.0,1.0,3.0,75.0
Super built-up  Area,other,1614.0,3.0,1.0,3.0,110.0
Plot  Area,other,1200.0,2.0,0.0,2.0,95.0
Plot  Area,other,900.0,2.0,0.0,2.0,55.0
Built-up  Area,Mangalwar peth,1632.0,3.0,0.0,4.0,145.0
Super built-up  Area,Manik Bagh,1041.0,2.0,2.0,2.0,65.5
Built-up  Area,Market yard,5080.0,7.0,0.0,6.0,450.0
Super built-up  Area,other,3012.0,6.0,2.0,4.0,250.0
Super built-up  Area,other,1530.0,3.0,2.0,3.0,74.5
Super built-up  Area,Mundhawa,1450.0,2.0,2.0,3.0,135.0
